stockAllocation,ExpReturn,dv
0,0.04836182,0.506634822646772
1,0.04883289,0.5115697168650667
2,0.0493041,0.5165060777129294
3,0.04977493,0.5214384577091079
4,0.05024494,0.5263622474463885
5,0.05071691,0.5313065699976198
6,0.05118793,0.5362409404196404
7,0.05165822,0.5411676634160568
8,0.05212915,0.5461010910047838
9,0.05260012,0.55103493763053
10,0.05307126,0.5559705651636089
11,0.05354265,0.560908811678059
12,0.05401342,0.5658405631187082
13,0.05448406,0.5707709526890444
14,0.05495522,0.5757067897406328
15,0.05542562,0.5806346650888526
16,0.05589689,0.5855716544922445
17,0.05636781,0.5905049773217165
18,0.05683824,0.5954331669477009
19,0.05731012,0.6003765466656387
20,0.05778056,0.6053048410508779
21,0.05825182,0.6102417256950149
22,0.05872245,0.6151720105060963
23,0.05919389,0.6201107808168205
24,0.05966503,0.6250464083498993
25,0.06013588,0.6299789978645874
26,0.06060689,0.6349132635273531
27,0.0610779,0.6398475291901188
28,0.061548,0.644772261760693
29,0.06201904,0.6497068417012233
30,0.06249024,0.6546430977898312
31,0.06296118,0.659576630137813
32,0.06343256,0.6645147718930081
33,0.06390271,0.6694400282598566
34,0.064374,0.6743772271817582
35,0.06484468,0.6793080357891138
36,0.06531574,0.6842428252481537
37,0.06578706,0.6891803384478198
38,0.06625834,0.6941174326104665
39,0.06672901,0.6990481364585674
40,0.0672,0.7039821926028234
41,0.06767067,0.7089128964509241
42,0.06814169,0.7138472668729448
43,0.06861286,0.718783208683788
44,0.06908319,0.7237103507172239
45,0.06955499,0.7286528923611227
46,0.07002537,0.7335805581908329
47,0.07049639,0.7385149286128535
48,0.07096754,0.743450660905187
49,0.07143892,0.7483888026603823
50,0.07190919,0.753315316138289
51,0.0723804,0.7582516769861517
52,0.07285084,0.7631799713713909
53,0.07332229,0.7681188464413701
54,0.07379347,0.7730548930114682
55,0.07426395,0.7779836064337268
56,0.07473509,0.7829192339668056
57,0.07520575,0.7878498330556516
58,0.07567697,0.7927862986627691
59,0.07614812,0.7977220309551027
60,0.07661935,0.8026586013214753
61,0.07708986,0.8075876290214983
62,0.07756047,0.81251770431407
63,0.07803196,0.8174569984210686
64,0.07850286,0.8223901117320308
65,0.07897403,0.8273260535428743
66,0.07944457,0.832255395520662
67,0.07991511,0.8371847374984496
68,0.08038673,0.8421253934757613
69,0.08085743,0.8470564116016265
70,0.08132811,0.8519872202089821
71,0.08179969,0.8569274571492744
72,0.08227003,0.8618547039419651
73,0.08274067,0.8667850935123014
74,0.08321258,0.8717287875080036
75,0.08368308,0.876657710448772
76,0.08415399,0.8815909285189891
77,0.08462445,0.886519432422738
78,0.0850963,0.8914624978629112
79,0.08556766,0.8964004300995968
80,0.08603805,0.9013282006885618
81,0.08650928,0.9062647710549341
82,0.08697987,0.911194636828996
83,0.08745092,0.9161293215287812
84,0.08792142,0.9210582444695495
85,0.08839279,0.9259962814654898
86,0.08886366,0.9309290804986876
87,0.08933435,0.9358599938652982
88,0.08980562,0.94079698326869
89,0.09027684,0.9457334488758076
90,0.09074761,0.9506652003164568
91,0.09121838,0.9555969517571061
92,0.09168974,0.9605348839937917
93,0.09216043,0.9654657973604021
94,0.09263173,0.9704031010415585
95,0.09310229,0.975332652537856
96,0.09357329,0.9802668134413668
97,0.09404431,0.9852011838633874
98,0.09451529,0.9901351352483885
99,0.09498605,0.9950667819297829
100,0.09545696,0.9989535037531541
